1,3,7,1.3369,1
3,2,6,0.6501,1
3,1,3,0.4931,1
2,3,38,0.6548,1
1,2,10,0.607,1
2,3,31,0.5302,1
2,3,3,0.5151,1
2,3,3,0.4148,1
2,1,2,0.4638,1
3,3,3,0.5121,1
2,1,2,0.5877,1
2,1,2,0.4573,1
3,2,4,0.5748,1
1,3,38,0.9152,1
1,3,37,0.4065,1
2,1,2,0.4162,1
3,2,9,0.4528,1
2,2,6,0.4321,1
2,2,9,0.4286,1
3,2,4,0.6189,1
2,3,7,0.5411,1
3,1,3,0.4779,1
3,1,3,0.4521,1
2,3,24,0.2961,1
1,1,1,0.3678,1
2,2,4,0.6113,1
1,2,3,0.5571,1
3,3,3,0.4505,1
1,2,4,0.7122,1
2,2,11,1.2761,0
2,3,8,0.8847,1
1,1,1,0.5207,1
1,3,23,0.5928,1
1,2,2,0.3885,1
1,2,7,0.3616,1
1,3,36,0.3429,1
3,1,3,0.4573,1
2,3,37,0.4164,1
3,2,12,0.4013,1
3,1,3,0.3703,1
3,1,3,0.3274,1
3,1,3,0.327,1
2,1,2,0.3454,1
1,3,3,0.4105,1
2,2,6,0.4064,1
1,1,1,0.6415,1
2,1,2,0.6333,1
1,3,13,0.6051,1
3,2,9,0.5407,1
3,3,15,0.4509,1
3,3,37,0.4706,1
3,3,37,0.4206,1
2,3,19,0.3896,1
3,2,9,0.4836,1
3,2,7,0.3544,0
1,1,1,0.4651,1
2,2,11,0.5274,1
1,3,37,0.3521,1
2,2,10,0.4264,1
3,2,12,0.7813,0
3,1,3,0.3966,0
3,1,3,0.478,1
3,2,9,0.3518,1
2,2,3,0.3855,0
1,1,1,0.4254,1
1,2,5,0.6839,1
2,3,12,0.4611,1
2,2,7,0.3752,1
2,2,8,0.3056,1
3,1,3,0.4416,1
2,1,2,0.4059,1
3,2,12,0.6447,1
2,2,10,0.744,1
1,2,4,0.6211,1
3,3,18,0.6996,1
1,3,40,0.8524,1
3,3,38,0.7652,1
2,1,2,0.3963,1
2,1,2,0.3782,1
1,1,1,0.4847,1
1,3,35,0.3241,1
2,2,10,0.3513,0
3,1,3,0.3617,1
2,3,8,0.4993,1
3,3,36,0.56,1
2,1,2,0.4902,1
3,3,10,0.4852,1
1,1,1,0.449,1
1,1,1,0.3379,1
3,3,36,0.7931,1
1,2,6,0.5819,1
3,3,19,0.5056,1
1,1,1,0.5445,1
1,3,17,0.3403,1
2,3,15,0.6371,1
1,2,3,0.4608,0
2,2,7,0.5001,1
1,1,1,0.462,1
2,3,7,0.5441,1
3,2,6,0.5162,1
1,3,37,0.4812,1
3,2,12,0.788,1
2,1,2,0.3707,1
1,1,1,0.4376,1
1,1,1,0.3283,1
1,3,36,0.349,1
2,3,31,0.4806,1
3,3,14,0.7354,1
2,1,2,0.4464,1
2,3,27,0.361,1
2,1,2,0.3256,1
3,3,28,0.7212,1
1,1,1,0.4672,1
1,1,1,0.3139,1
1,2,7,0.3111,1
2,2,10,0.737,1
3,1,3,0.5101,1
1,2,4,0.688,1
1,2,10,0.3229,1
3,2,4,0.7071,1
1,3,27,0.7009,1
3,1,3,0.6459,1
3,1,3,0.38,1
1,2,4,0.5116,1
3,3,11,0.4821,1
3,2,11,0.3628,1
1,3,31,0.5602,1
1,1,1,0.3302,1
2,1,2,0.4808,1
3,1,3,0.4409,1
2,2,8,0.5667,1
1,2,6,0.3866,1
3,3,38,0.6819,1
1,2,5,0.4726,1
2,1,2,0.4481,1
