"","target","BlkType","response","rt","sub","error"
"104","Absent","1:3",1,0.446828715175798,"aleg",FALSE
"105","Absent","1:3",1,0.505389370537159,"aleg",FALSE
"106","Absent","1:3",1,0.494978936971165,"aleg",FALSE
"107","Absent","1:3",1,0.462712130653017,"aleg",FALSE
"108","Absent","1:3",1,0.547829556409852,"aleg",FALSE
"109","Absent","1:3",1,0.45989449271292,"aleg",FALSE
"110","Present","1:3",3,0.550786590785719,"aleg",FALSE
"111","Absent","1:3",1,0.486462540829962,"aleg",FALSE
"112","Absent","1:3",1,0.4412243703282,"aleg",FALSE
"113","Present","1:3",3,0.459874940896043,"aleg",FALSE
"114","Absent","1:3",1,0.473138326718981,"aleg",FALSE
"115","Absent","1:3",1,0.422416588278793,"aleg",FALSE
"116","Absent","1:3",1,0.4542972077179,"aleg",FALSE
"117","Absent","1:3",1,0.40361047157603,"aleg",FALSE
"118","Present","1:3",3,0.446201158682015,"aleg",FALSE
"119","Absent","1:3",1,0.41145773025346,"aleg",FALSE
"120","Present","1:3",3,0.488934539074762,"aleg",FALSE
"121","Absent","1:3",1,0.802765505201023,"aleg",FALSE
"122","Absent","1:3",1,0.434686729877285,"aleg",FALSE
"123","Absent","1:3",1,0.445262622697555,"aleg",FALSE
"124","Absent","1:3",1,0.402208751933358,"aleg",FALSE
"125","Absent","1:3",1,0.367711538781805,"aleg",FALSE
"126","Absent","1:3",1,0.388988492126373,"aleg",FALSE
"127","Absent","1:3",1,0.519522656113622,"aleg",FALSE
"128","Absent","1:3",1,0.367468789523627,"aleg",FALSE
"129","Absent","1:3",1,0.367574747504477,"aleg",FALSE
"130","Absent","1:3",1,0.369997281652104,"aleg",FALSE
"131","Absent","1:3",1,0.332941618979021,"aleg",FALSE
"132","Absent","1:3",1,0.31927214861571,"aleg",FALSE
"133","Absent","1:3",1,0.356867514305122,"aleg",FALSE
"134","Absent","1:3",1,0.33254758280782,"aleg",FALSE
"135","Absent","1:3",1,0.399411925149252,"aleg",FALSE
"136","Absent","1:3",1,0.39379824610478,"aleg",FALSE
"137","Present","1:3",3,0.740550814502058,"aleg",FALSE
"138","Absent","1:3",1,0.479024471826051,"aleg",FALSE
"139","Absent","1:3",1,0.481923057515814,"aleg",FALSE
"140","Absent","1:3",1,0.308347931999378,"aleg",FALSE
"141","Present","1:3",3,0.430848495467217,"aleg",FALSE
"142","Absent","1:3",1,0.487110152875175,"aleg",FALSE
"143","Absent","1:3",1,0.537493837768125,"aleg",FALSE
"144","Absent","1:3",1,0.673470650350282,"aleg",FALSE
"145","Absent","1:3",1,0.556176275427788,"aleg",FALSE
"146","Absent","1:3",1,0.457502524955999,"aleg",FALSE
"147","Absent","1:3",1,0.430851529175925,"aleg",FALSE
"148","Absent","1:3",1,0.422630169583499,"aleg",FALSE
"149","Present","1:3",3,0.430610885092392,"aleg",FALSE
"150","Absent","1:3",1,0.377300690865013,"aleg",FALSE
"151","Absent","1:3",1,0.398392151955704,"aleg",FALSE
"152","Present","1:3",3,0.414702391713945,"aleg",FALSE
"153","Absent","1:3",1,0.467892090973692,"aleg",FALSE
"154","Present","1:3",3,0.403699633263386,"aleg",FALSE
"155","Absent","1:3",1,0.358495450063856,"aleg",FALSE
"156","Absent","1:3",1,0.553213308967315,"aleg",FALSE
"157","Absent","1:3",1,0.531806624201636,"aleg",FALSE
"158","Absent","1:3",1,0.50204908525302,"aleg",FALSE
"159","Absent","1:3",1,0.416835257508865,"aleg",FALSE
"160","Absent","1:3",1,0.347584999790342,"aleg",FALSE
"161","Present","1:3",3,0.813984153126512,"aleg",FALSE
"162","Absent","1:3",1,0.5980622701627,"aleg",FALSE
"163","Absent","1:3",1,0.589958495886094,"aleg",FALSE
"164","Absent","1:3",1,0.437625516897242,"aleg",FALSE
"165","Absent","1:3",3,0.66693375046998,"aleg",TRUE
"166","Absent","1:3",1,0.424236955848755,"aleg",FALSE
"167","Absent","1:3",1,0.34449568146556,"aleg",FALSE
"168","Absent","1:3",1,0.379094454283404,"aleg",FALSE
"169","Absent","1:3",1,0.370955275468077,"aleg",FALSE
"170","Present","1:3",3,0.440197292929952,"aleg",FALSE
"171","Absent","1:3",1,0.333333162774579,"aleg",FALSE
"172","Absent","1:3",1,0.360024514013276,"aleg",FALSE
"173","Present","1:3",3,0.477478837141462,"aleg",FALSE
"174","Absent","1:3",1,0.335944113863661,"aleg",FALSE
"175","Absent","1:3",1,0.450791466941155,"aleg",FALSE
"176","Absent","1:3",1,0.322592682845425,"aleg",FALSE
"177","Absent","1:3",1,0.319691243892521,"aleg",FALSE
"178","Absent","1:3",1,0.325274916669514,"aleg",FALSE
"179","Absent","1:3",1,0.404978376844156,"aleg",FALSE
"180","Present","1:3",3,0.477242967293932,"aleg",FALSE
"181","Absent","1:3",1,0.511598182614762,"aleg",FALSE
"182","Present","1:3",3,0.559521037968807,"aleg",FALSE
"183","Absent","1:3",1,0.602087673447386,"aleg",FALSE
"184","Absent","1:3",1,0.404836187293768,"aleg",FALSE
"185","Present","1:3",3,0.463538607409646,"aleg",FALSE
"186","Absent","1:3",1,0.524961064284071,"aleg",FALSE
"187","Absent","1:3",1,0.425969240632185,"aleg",FALSE
"188","Absent","1:3",1,0.452491535024819,"aleg",FALSE
"189","Absent","1:3",1,0.487346800886371,"aleg",FALSE
"190","Absent","1:3",1,0.423342451862482,"aleg",FALSE
"191","Absent","1:3",1,0.412637064449882,"aleg",FALSE
