1,0.5,1.9024,1
2,0.6,0.85779,1
2,0.5,0.98746,0
1,0.7,0.62376,1
2,0.3,1.0722,0
1,0.5,1.0824,1
2,0.4,0.5576,1
2,0.6,0.56709,1
2,0.8,0.54211,1
2,0.4,0.83353,0
1,0.6,0.50777,0
1,0.9,0.2219,0
1,0.4,0.65369,0
1,0.7,0.56253,1
1,0.4,0.8331,0
2,0.9,0.69785,1
1,0.9,0.36668,0
2,0.4,0.75262,0
2,0.7,0.8273,0
2,0.7,0.59241,1
1,0.7,0.58755,0
1,0.3,0.72757,0
1,0.6,1.5832,0
2,0.4,0.77813,0
2,0.8,0.72217,1
2,0.4,0.70238,0
2,0.7,0.71722,0
2,0.8,0.71699,0
1,0.8,0.44781,0
2,0.5,0.73764,0
2,0.7,0.94273,0
2,0.9,0.67276,1
1,0.8,1.188,1
1,0.9,0.4774,1
2,0.4,0.65324,0
1,0.8,0.61861,0
1,0.7,0.96214,0
2,0.9,0.51804,1
2,0.9,0.61723,1
1,0.7,0.60313,0
2,0.3,0.68821,0
2,0.8,0.81291,1
2,0.4,0.64197,0
1,0.6,0.8432,1
1,0.5,0.4823,0
2,0.7,0.55173,0
1,0.3,0.71801,0
1,0.7,0.58235,0
1,0.7,0.75749,1
2,0.3,0.75372,0
1,0.8,0.92912,0
1,0.9,0.31721,1
2,0.7,0.53947,1
2,0.8,0.48293,1
1,0.3,0.6727,0
2,0.7,1.2825,1
1,0.6,0.70798,1
1,0.7,0.91801,1
2,0.6,0.59757,1
1,0.5,0.55801,0
2,0.3,0.64787,0
2,0.8,0.49736,0
1,0.3,0.54722,0
1,0.5,0.98323,0
1,0.3,1.2087,1
1,0.6,0.66183,0
2,0.6,1.042,0
2,0.6,0.68377,1
2,0.5,0.56797,1
2,0.3,0.64716,0
1,0.5,0.6069,1
1,0.4,1.0182,0
2,0.8,0.84413,1
2,0.6,0.60204,1
1,0.7,0.68696,1
1,0.9,0.53239,1
1,0.6,0.4823,0
2,0.4,1.0096,0
1,0.3,0.70887,0
2,0.3,0.74273,0
1,0.3,0.95214,0
2,0.4,1.3135,0
1,0.4,0.68181,0
1,0.5,0.61228,1
2,0.7,0.45157,1
1,0.9,0.085801,1
1,0.7,1.2345,0
2,0.5,0.59765,0
1,0.8,0.8168,1
2,0.8,0.31242,1
2,0.9,0.18613,1
2,0.3,0.73427,0
2,0.8,0.54711,1
1,0.6,0.67276,0
1,0.6,0.64687,0
2,0.3,0.73889,0
2,0.6,0.53217,1
1,0.3,0.59785,0
2,0.8,0.54774,1
1,0.4,0.80289,0
1,0.6,0.49781,0
1,0.9,0.51222,1
2,0.3,0.71383,0
2,0.7,0.51206,1
1,0.8,0.2286,0
2,0.3,0.639,0
2,0.5,0.79297,1
1,0.4,0.52835,1
2,0.5,0.47223,1
2,0.9,0.59752,0
2,0.6,0.52225,0
1,0.8,0.4424,1
2,0.5,0.42749,1
1,0.3,0.63711,0
2,0.6,0.96215,1
1,0.9,0.66929,0
2,0.7,0.57233,0
1,0.5,0.56253,1
2,0.9,0.45765,1
1,0.4,0.91802,0
1,0.6,1.7137,1
2,0.9,0.50391,1
1,0.9,0.54178,1
1,0.8,0.59227,0
1,0.3,0.68267,0
2,0.5,0.55701,1
1,0.9,0.28659,1
1,0.4,0.77321,0
1,0.8,1.0296,1
2,0.9,0.27194,1
2,0.5,0.58715,1
2,0.6,1.0633,1
2,0.9,0.5789,1
1,0.4,0.70862,0
2,0.5,0.61292,0
1,0.8,0.52307,0
2,0.4,0.7239,0
1,0.4,1.29,0
1,0.5,0.74343,0
1,0.5,0.84345,0
